Seed;Model_Architecture;Label;Pruning;Gradient_Loss;PSNR
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.98439324
0;Custom_ResNet;DLG;small;0.02040201425552368;7.355128
0;Custom_ResNet;DLG;;0.02619349956512451;6.307599
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-1.0470558
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-1.0470558
0;Custom_ResNet;DLG;small;0.020224392414093018;9.009672
0;Custom_ResNet;DLG;;0.029111087322235107;7.2327156
0;Custom_ResNet;DLG;small;0.0;-1.047056
0;Custom_ResNet;DLG;;0.0;-1.047056
0;Custom_ResNet;DLG;small;0.004038512706756592;9.178412
0;Custom_ResNet;DLG;;0.004817068576812744;8.688545
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-1.047056
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-1.047056
0;Custom_ResNet;DLG;small;0.0035423636436462402;9.634256
0;Custom_ResNet;DLG;;0.003953218460083008;9.389409
0;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-1.047056
0;Custom_ResNet;DLG;;-1.1920928955078125e-07;-1.047056
1;McMahan_CNN;DLG;small;0.014379262924194336;20.865505
1;McMahan_CNN;DLG;;0.03672415018081665;17.308506
1;McMahan_CNN;DLG;small;-1.1920928955078125e-07;53.674606
1;McMahan_CNN;DLG;;0.0;38.83673
1;McMahan_CNN;DLG;small;0.010677456855773926;19.4445
1;McMahan_CNN;DLG;;0.023333609104156494;17.487198
1;McMahan_CNN;DLG;small;-1.1920928955078125e-07;51.039192
1;McMahan_CNN;DLG;;-1.1920928955078125e-07;40.285667
1;McMahan_CNN;DLG;small;0.0019294023513793945;25.31212
1;McMahan_CNN;DLG;;0.00267714262008667;25.387213
1;McMahan_CNN;DLG;small;0.0;24.870056
1;McMahan_CNN;DLG;;-1.1920928955078125e-07;29.085346
1;McMahan_CNN;DLG;small;0.0014235973358154297;24.78447
1;McMahan_CNN;DLG;;0.0014389753341674805;26.753742
1;McMahan_CNN;DLG;small;-1.1920928955078125e-07;27.168
1;McMahan_CNN;DLG;;-1.1920928955078125e-07;30.99588
1;McMahan_CNN;DLG;small;0.05340099334716797;14.62994
1;McMahan_CNN;DLG;;0.09034967422485352;9.60887
1;McMahan_CNN;DLG;small;0.0;41.19625
1;McMahan_CNN;DLG;;2.384185791015625e-07;32.667397
1;McMahan_CNN;DLG;small;0.01904386281967163;17.081299
1;McMahan_CNN;DLG;;0.03542357683181763;12.438316
1;McMahan_CNN;DLG;small;-1.1920928955078125e-07;43.52214
1;McMahan_CNN;DLG;;1.1920928955078125e-07;34.354126
1;McMahan_CNN;DLG;small;0.007458031177520752;22.180828
1;McMahan_CNN;DLG;;0.007218420505523682;21.49821
1;McMahan_CNN;DLG;small;0.0;22.996754
1;McMahan_CNN;DLG;;5.960464477539063e-08;23.449713
1;McMahan_CNN;DLG;small;0.002724289894104004;20.660265
1;McMahan_CNN;DLG;;0.004003345966339111;22.076965
1;McMahan_CNN;DLG;small;0.0;23.480888
1;McMahan_CNN;DLG;;1.1920928955078125e-07;23.891499
1;McMahan_CNN;DLG;small;0.08768582344055176;0.9539765
1;McMahan_CNN;DLG;;0.1173967719078064;-0.06949413
1;McMahan_CNN;DLG;small;7.748603820800781e-07;18.833397
1;McMahan_CNN;DLG;;8.940696716308594e-07;19.406185
1;McMahan_CNN;DLG;small;0.04372221231460571;5.6591463
1;McMahan_CNN;DLG;;0.05905836820602417;4.0478683
1;McMahan_CNN;DLG;small;7.152557373046875e-07;18.58397
1;McMahan_CNN;DLG;;8.940696716308594e-07;18.785843
1;McMahan_CNN;DLG;small;0.008296549320220947;14.248133
1;McMahan_CNN;DLG;;0.007349610328674316;14.082471
1;McMahan_CNN;DLG;small;0.0;17.265272
1;McMahan_CNN;DLG;;0.0;17.794094
1;McMahan_CNN;DLG;small;0.006827056407928467;13.853965
1;McMahan_CNN;DLG;;0.011573195457458496;13.515319
1;McMahan_CNN;DLG;small;5.960464477539063e-08;17.26469
1;McMahan_CNN;DLG;;5.960464477539063e-08;17.99475
1;McMahan_CNN;DLG;small;0.1070207953453064;2.955653
1;McMahan_CNN;DLG;;0.11430233716964722;-0.057987034
1;McMahan_CNN;DLG;small;7.152557373046875e-07;17.977331
1;McMahan_CNN;DLG;;8.344650268554688e-07;18.584002
1;McMahan_CNN;DLG;small;0.0692252516746521;0.726519
1;McMahan_CNN;DLG;;0.07996213436126709;-1.7497323
1;McMahan_CNN;DLG;small;7.152557373046875e-07;17.605919
1;McMahan_CNN;DLG;;9.5367431640625e-07;18.226734
1;McMahan_CNN;DLG;small;0.02952587604522705;12.961231
1;McMahan_CNN;DLG;;0.031746625900268555;12.440955
1;McMahan_CNN;DLG;small;1.1920928955078125e-07;16.172413
1;McMahan_CNN;DLG;;1.7881393432617188e-07;16.51147
1;McMahan_CNN;DLG;small;0.02135753631591797;12.337776
1;McMahan_CNN;DLG;;0.02469724416732788;13.721409
1;McMahan_CNN;DLG;small;1.1920928955078125e-07;16.610352
1;McMahan_CNN;DLG;;1.1920928955078125e-07;17.000751
1;McMahan_CNN;DLG;small;0.0765303373336792;2.3474588
1;McMahan_CNN;DLG;;0.07908523082733154;0.48636174
1;McMahan_CNN;DLG;small;4.76837158203125e-07;13.022255
1;McMahan_CNN;DLG;;5.960464477539062e-07;13.298367
1;McMahan_CNN;DLG;small;0.056723713874816895;-1.0708272
1;McMahan_CNN;DLG;;0.05849581956863403;-2.43878
1;McMahan_CNN;DLG;small;4.172325134277344e-07;12.439171
1;McMahan_CNN;DLG;;4.172325134277344e-07;12.951552
1;McMahan_CNN;DLG;small;0.032869815826416016;11.185775
1;McMahan_CNN;DLG;;0.035053789615631104;11.109962
1;McMahan_CNN;DLG;small;1.1920928955078125e-07;11.504738
1;McMahan_CNN;DLG;;1.1920928955078125e-07;11.700308
1;McMahan_CNN;DLG;small;0.03660935163497925;10.553702
1;McMahan_CNN;DLG;;0.03665423393249512;9.295679
1;McMahan_CNN;DLG;small;1.7881393432617188e-07;11.735334
1;McMahan_CNN;DLG;;1.7881393432617188e-07;11.887849
1;Custom_ResNet;DLG;small;0.0050484538078308105;22.776878
1;Custom_ResNet;DLG;;0.018961191177368164;14.236761
1;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.81557584
1;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.8155756
1;Custom_ResNet;DLG;small;0.00599902868270874;21.700817
1;Custom_ResNet;DLG;;0.012978971004486084;17.094948
1;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.81557584
1;Custom_ResNet;DLG;;0.0;-0.8155756
1;Custom_ResNet;DLG;small;0.0014372467994689941;21.988483
1;Custom_ResNet;DLG;;0.0013060569763183594;22.859074
1;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-0.8155768
1;Custom_ResNet;DLG;;-1.1920928955078125e-07;-0.8155768
1;Custom_ResNet;DLG;small;0.0008620023727416992;25.536331
1;Custom_ResNet;DLG;;0.0009852051734924316;24.483906
1;Custom_ResNet;DLG;small;5.960464477539063e-08;-0.8155768
1;Custom_ResNet;DLG;;5.960464477539063e-08;-0.8155768
1;Custom_ResNet;DLG;small;0.013232588768005371;16.45346
1;Custom_ResNet;DLG;;0.027424335479736328;11.915925
1;Custom_ResNet;DLG;small;0.0;-1.0110794
1;Custom_ResNet;DLG;;0.0;-1.0110794
1;Custom_ResNet;DLG;small;0.010443270206451416;16.953133
1;Custom_ResNet;DLG;;0.01926553249359131;12.943403
1;Custom_ResNet;DLG;small;0.0;-1.0110794
1;Custom_ResNet;DLG;;0.0;-1.0110791
1;Custom_ResNet;DLG;small;0.001889050006866455;19.513607
1;Custom_ResNet;DLG;;0.002235710620880127;18.691133
1;Custom_ResNet;DLG;small;0.0;-1.0110798
1;Custom_ResNet;DLG;;0.0;-1.0110798
1;Custom_ResNet;DLG;small;0.0015173554420471191;18.242682
1;Custom_ResNet;DLG;;0.002011537551879883;17.2178
1;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-1.0110798
1;Custom_ResNet;DLG;;-1.1920928955078125e-07;-1.0110798
1;Custom_ResNet;DLG;small;0.0174599289894104;10.6402645
1;Custom_ResNet;DLG;;0.03069514036178589;7.76232
1;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-1.046085
1;Custom_ResNet;DLG;;-1.1920928955078125e-07;-1.046085
1;Custom_ResNet;DLG;small;0.01091843843460083;10.437928
1;Custom_ResNet;DLG;;0.017222344875335693;10.184991
1;Custom_ResNet;DLG;small;-1.1920928955078125e-07;-1.046085
