Seed;Model_Architecture;Batch_Size;Init_Method;Pruning;Activation;Iterations;Gradient_Loss;PSNR
1;McMahan_CNN;4;kaiming_uniform_;small;Sigmoid;500;1.7881393432617188e-07;17.26469
1;McMahan_CNN;4;kaiming_uniform_;;Sigmoid;500;2.384185791015625e-07;17.99475
1;McMahan_CNN;8;xavier_normal_;small;ReLU;500;0.10747730731964111;2.955653
1;McMahan_CNN;8;xavier_normal_;;ReLU;500;0.12297528982162476;-0.057987034
1;McMahan_CNN;8;xavier_normal_;small;Sigmoid;500;7.152557373046875e-07;17.977331
1;McMahan_CNN;8;xavier_normal_;;Sigmoid;500;1.0132789611816406e-06;18.584002
1;McMahan_CNN;8;xavier_uniform_;small;ReLU;500;0.07761448621749878;0.726519
1;McMahan_CNN;8;xavier_uniform_;;ReLU;500;0.08320856094360352;-1.7497323
1;McMahan_CNN;8;xavier_uniform_;small;Sigmoid;500;7.152557373046875e-07;17.605919
1;McMahan_CNN;8;xavier_uniform_;;Sigmoid;500;1.1920928955078125e-06;18.226734
1;McMahan_CNN;8;kaiming_normal_;small;ReLU;500;0.03853088617324829;12.961231
1;McMahan_CNN;8;kaiming_normal_;;ReLU;500;0.04287123680114746;12.440955
1;McMahan_CNN;8;kaiming_normal_;small;Sigmoid;500;2.384185791015625e-07;16.172413
1;McMahan_CNN;8;kaiming_normal_;;Sigmoid;500;2.384185791015625e-07;16.51147
1;McMahan_CNN;8;kaiming_uniform_;small;ReLU;500;0.03112185001373291;12.337776
1;McMahan_CNN;8;kaiming_uniform_;;ReLU;500;0.034698486328125;13.721409
1;McMahan_CNN;8;kaiming_uniform_;small;Sigmoid;500;1.7881393432617188e-07;16.610352
1;McMahan_CNN;8;kaiming_uniform_;;Sigmoid;500;2.384185791015625e-07;17.000751
1;McMahan_CNN;16;xavier_normal_;small;ReLU;500;0.08094829320907593;2.3474588
1;McMahan_CNN;16;xavier_normal_;;ReLU;500;0.08856284618377686;0.48636174
1;McMahan_CNN;16;xavier_normal_;small;Sigmoid;500;5.364418029785156e-07;13.022255
1;McMahan_CNN;16;xavier_normal_;;Sigmoid;500;7.748603820800781e-07;13.298367
1;McMahan_CNN;16;xavier_uniform_;small;ReLU;500;0.05946660041809082;-1.0708272
1;McMahan_CNN;16;xavier_uniform_;;ReLU;500;0.06734150648117065;-2.43878
1;McMahan_CNN;16;xavier_uniform_;small;Sigmoid;500;4.172325134277344e-07;12.439171
1;McMahan_CNN;16;xavier_uniform_;;Sigmoid;500;6.556510925292969e-07;12.951552
1;McMahan_CNN;16;kaiming_normal_;small;ReLU;500;0.041882455348968506;11.185775
